hdb,latitude,longitude
539 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
545 ANG MO KIO AVE 10 SINGAPORE,1.36951942637994,103.848462230319
501 ANG MO KIO AVE 5 SINGAPORE,1.37776263842074,103.843782193293
521 ANG MO KIO AVE 5 SINGAPORE,1.37357054041245,103.851551329495
620 ANG MO KIO AVE 9 SINGAPORE,1.38244082944044,103.839546376827
259 ANG MO KIO AVE 2 SINGAPORE,1.36951942637994,103.848462230319
253 ANG MO KIO ST 21 SINGAPORE,1.3694605445784,103.834659046016
317 ANG MO KIO ST 31 SINGAPORE,1.36562478329901,103.847011474539
306 ANG MO KIO AVE 1 SINGAPORE,1.36619678831054,103.841505011903
104A ANG MO KIO ST 11 SINGAPORE,1.36951942637994,103.848462230319
620 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
618 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
74 BEDOK NTH RD SINGAPORE,1.32751177120151,103.942220384041
76 BEDOK NTH RD SINGAPORE,1.3282966654865,103.942067527916
77 BEDOK NTH RD SINGAPORE,1.32869611162886,103.941995599533
501 BEDOK NTH ST 3 SINGAPORE,1.3300514240201,103.924118031423
534 BEDOK NTH ST 3 SINGAPORE,1.33303698213001,103.924812248346
617 BEDOK RESERVOIR RD SINGAPORE,1.33641984694912,103.92483267275
3 BEDOK STH AVE 1 SINGAPORE,1.32191533930821,103.933180861675
2 BEDOK STH AVE 1 SINGAPORE,1.32130118793544,103.933299574181
18 BEDOK STH RD SINGAPORE,1.32062504871279,103.934734222428
36 CHAI CHEE AVE SINGAPORE,1.32534102499628,103.92543538387
32 CHAI CHEE AVE SINGAPORE,1.32371728387748,103.92500108451
40 CHAI CHEE AVE SINGAPORE,1.32604335303082,103.926488452026
37 CHAI CHEE AVE SINGAPORE,1.32544200357037,103.926207634232
27 NEW UPP CHANGI RD SINGAPORE,1.32412432931246,103.934921045772
57 NEW UPP CHANGI RD SINGAPORE,1.32424554153984,103.941568704132
55 CHAI CHEE DR SINGAPORE,1.32951191213047,103.916723085546
59 CHAI CHEE RD SINGAPORE,1.32849025155961,103.919116078116
2 CHAI CHEE RD SINGAPORE,1.32951191213047,103.916723085546
423 BEDOK NTH AVE 1 SINGAPORE,1.32652421566023,103.926898058991
522 BEDOK NTH AVE 1 SINGAPORE,1.33066302927677,103.92698039611
548 BEDOK NTH AVE 1 SINGAPORE,1.33131021834565,103.92685391703
418 BEDOK NTH AVE 2 SINGAPORE,1.3305534143043,103.930556186265
515 BEDOK NTH AVE 2 SINGAPORE,1.3305534143043,103.930556186265
402 BEDOK NTH AVE 3 SINGAPORE,1.33675047903361,103.93336076202
401 BEDOK NTH AVE 3 SINGAPORE,1.33675047903361,103.93336076202
102 BEDOK NTH AVE 4 SINGAPORE,1.33502410235851,103.943523990253
105 BEDOK NTH AVE 4 SINGAPORE,1.33502410235851,103.943523990253
92 BEDOK NTH AVE 4 SINGAPORE,1.33244414877355,103.941297978178
108 BEDOK NTH RD SINGAPORE,1.33474211664091,103.91797832995
107 BEDOK NTH RD SINGAPORE,1.33474211664091,103.91797832995
110 BEDOK NTH RD SINGAPORE,1.33474211664091,103.91797832995
109 BEDOK NTH RD SINGAPORE,1.33474211664091,103.91797832995
116 BEDOK NTH RD SINGAPORE,1.33100823526591,103.938066838998
420 BEDOK NTH ST 1 SINGAPORE,1.32662388643563,103.931806159881
419 BEDOK NTH ST 1 SINGAPORE,1.32609868101702,103.93881875464
202 BEDOK NTH ST 1 SINGAPORE,1.32662388643563,103.931806159881
