mall,building,latitude,longitude
The Star Vista,ASIA STAR HOTEL,1.30850392590277,103.854724871055
Alexandra Central,ALEXANDRA 38,1.27555511935439,103.797685917765
Anchorpoint,ANCHORPOINT SHOPPING CENTRE,1.2889348,103.8056078
OD Mall,GRANTRAL MALL @ CLEMENTI,1.3142705,103.7651475
Boon Lay Shopping Centre,BOON LAY COURT,1.34783725319329,103.707753067941
Grantral Mall,GRANTRAL MALL @ CLEMENTI,1.31427043922294,103.765147487482
Fairprice Hub,ATM OCBC BENOI RD- FAIRPRICE,1.32561764102293,103.678410551563
Gek Poh Shopping Centre,GEK POH MRT STATION,1.3483403539896,103.698067375909
Rochester Mall,ROCHESTER MALL,1.30540765569962,103.788446680148
Taman Jurong Shopping Centre,JUST KIDS @ TAMAN JURONG PTE. LTD.,1.3350420286067,103.72026802061
West Coast Plaza,WEST COAST MARINE FIRE STATION,1.29250760743036,103.762061687065
Plantation Plaza,PLANTATION ACRES,1.35432940422664,103.735168981842
Tengah Mall (2027),DORM 1A TENGAH,1.36272836277485,103.740878068259
Queensway Shopping Centre,ALEXANDRA FIRE STATION,1.28842657948272,103.802829527538
The Rail Mall,THE RAIL MALL,1.35793376567949,103.767991780291
